,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
181,ru1910                        ,0,124,0,0.0,0,0.245886,2019-03-06
182,ru1911                        ,0,148,0,0.0,0,0.245886,2019-03-06
183,ru2001                        ,0,404,0,0.0,0,0.245886,2019-03-06
184,ru1905                        ,6072,18926,-378,1464.702,0,0.236749,2019-03-07
185,ru1906                        ,464,2506,24,109.114,0,0.226613,2019-03-07
186,ru1907                        ,62,386,48,8.458,0,0.223126,2019-03-07
187,ru1908                        ,20,180,12,3.06,0,0.232778,2019-03-07
188,ru1909                        ,834,5510,332,517.192,0,0.250991,2019-03-07
189,ru1910                        ,0,124,0,0.0,0,0.250991,2019-03-07
190,ru1911                        ,2,150,2,0.294,0,0.044694,2019-03-07
191,ru2001                        ,20,402,-2,15.414,0,0.174116,2019-03-07
192,ru1905                        ,4818,18536,-390,1197.85,0,0.231486,2019-03-08
193,ru1906                        ,290,2558,52,82.948,0,0.213708,2019-03-08
194,ru1907                        ,14,382,-4,2.272,0,0.218864,2019-03-08
195,ru1908                        ,0,180,0,0.0,0,0.218864,2019-03-08
196,ru1909                        ,546,5632,122,205.76,0,0.230253,2019-03-08
197,ru1910                        ,4,124,0,0.606,0,0.22657,2019-03-08
198,ru1911                        ,0,150,0,0.0,0,0.22657,2019-03-08
199,ru2001                        ,2,404,2,0.884,0,0.241072,2019-03-08
200,ru1905                        ,3856,18628,92,1021.108,4,0.234022,2019-03-11
201,ru1906                        ,148,2516,-42,11.002,0,0.222488,2019-03-11
202,ru1907                        ,14,384,2,1.988,0,0.240554,2019-03-11
203,ru1908                        ,0,180,0,0.0,0,0.240554,2019-03-11
204,ru1909                        ,1082,5738,106,617.526,0,0.258802,2019-03-11
205,ru1910                        ,0,124,0,0.0,0,0.258802,2019-03-11
206,ru1911                        ,0,150,0,0.0,0,0.107873,2019-03-11
207,ru2001                        ,2,404,0,0.358,0,0.107873,2019-03-11
