,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
377,cu1905                        ,268,1394,236,572.3,,0.162448,2018-11-22
378,cu1906                        ,56,1038,-18,47.881,,0.159688,2018-11-22
379,cu1907                        ,2,1164,0,1.251,,0.162595,2018-11-22
380,cu1908                        ,10,1128,2,15.584,,0.160791,2018-11-22
381,cu1909                        ,40,1536,18,51.521,,0.161189,2018-11-22
382,cu1910                        ,66,824,0,182.004,,0.160364,2018-11-22
383,cu1911                        ,106,428,-16,227.579,,0.158174,2018-11-22
384,cu1901                        ,26210,26572,-60,18205.066,,0.159552,2018-11-23
385,cu1902                        ,9300,12530,-68,7237.547,,0.156672,2018-11-23
386,cu1903                        ,3514,2918,234,3695.581,,0.156119,2018-11-23
387,cu1904                        ,126,1504,-10,58.838,,0.160605,2018-11-23
388,cu1905                        ,92,1400,6,55.56,,0.160171,2018-11-23
389,cu1906                        ,36,1046,8,30.824,,0.160288,2018-11-23
390,cu1907                        ,42,1176,12,30.44,,0.160999,2018-11-23
391,cu1908                        ,58,1146,18,49.426,,0.163499,2018-11-23
392,cu1909                        ,120,1550,14,95.482,,0.162606,2018-11-23
393,cu1910                        ,134,882,58,156.484,,0.162774,2018-11-23
394,cu1911                        ,26,428,0,36.863,,0.161994,2018-11-23
395,cu1901                        ,29660,27858,1286,18779.134,,0.166708,2018-11-26
396,cu1902                        ,11298,12502,-28,10272.374,,0.158265,2018-11-26
397,cu1903                        ,5254,3214,296,5754.872,,0.156895,2018-11-26
398,cu1904                        ,90,1518,14,42.849,,0.156482,2018-11-26
399,cu1905                        ,48,1414,14,37.799,,0.16172,2018-11-26
400,cu1906                        ,66,1052,6,33.764,,0.162477,2018-11-26
